this is just an example of the last 25 picks as of the date this program was written
11/10/2021	19,25,43,46,48,14	 x2	Jackpot $173
11/08/2021	21,46,47,57,62,08	 x3	$160
11/06/2021	08,30,48,57,64,09	 x2	$151
11/03/2021	01,02,24,50,57,26	 x2	$146
11/01/2021	09,25,34,44,45,08	 x3	$132
10/30/2021	05,23,28,43,56,19	 x2	$123
10/27/2021	03,06,26,35,51,17	 x4	$116
10/25/2021	10,27,29,44,58,24	 x2	$102
10/23/2021	10,30,51,57,63,20	 x2	$93
10/20/2021	07,29,36,41,43,05	 x2	$86
10/18/2021	30,32,48,53,63,12	 x2	$73
10/16/2021	30,31,41,42,48,03	 x3	$65
10/13/2021	23,29,47,59,60,15	 x2	$60
10/11/2021	11,20,33,39,65,24	 x3	$50
10/09/2021	12,17,30,45,62,05	 x2	$38
10/06/2021	01,17,52,58,64,01	 x10	$31
10/04/2021	12,22,54,66,69,15	 x2	BUSTED $697 * CA
10/02/2021	28,38,42,47,52,01	 x2	$670 > $685 > $697
09/29/2021	02,07,11,17,32,11	 x3	$620 > $635 > $670
09/27/2021	21,22,39,44,60,12	 x2	$570
09/25/2021	22,23,37,62,63,19	 x3	$545
09/22/2021	20,40,47,55,63,05	 x3	$523
09/20/2021	37,51,54,58,60,19	 x2	$490
09/18/2021	05,36,39,45,57,11	 x2	$472
09/15/2021	01,04,18,46,62,25	 x3	$457

